id,model,favs,downloads,url
fbca9b4f-116f-4755-acfd-5eb88b9f96f5,Mesa Mark 5 25W Head in Extreme Mode,12,30,https://tonehunt.org/31Wyntie/fbca9b4f-116f-4755-acfd-5eb88b9f96f5
18a4b7c0-f744-4eaf-adcc-a53575fdca83,Crate GX-65,4,9,https://tonehunt.org/markswarbrick/18a4b7c0-f744-4eaf-adcc-a53575fdca83
18a4b7c0-f744-4eaf-adcc-a53575fdca83,Crate GX-65,4,9,https://tonehunt.org/markswarbrick/18a4b7c0-f744-4eaf-adcc-a53575fdca83
eef84aff-b197-427e-88fa-f0390ee22fde,Salvation Audio Unnamed,26,38,https://tonehunt.org/2dor/eef84aff-b197-427e-88fa-f0390ee22fde
eef84aff-b197-427e-88fa-f0390ee22fde,Salvation Audio Unnamed,26,38,https://tonehunt.org/2dor/eef84aff-b197-427e-88fa-f0390ee22fde
737abe23-3d3b-4660-b9ff-b20213dd76b8,Soldano Hot Rod 50X,24,68,https://tonehunt.org/brianbuckles/737abe23-3d3b-4660-b9ff-b20213dd76b8
737abe23-3d3b-4660-b9ff-b20213dd76b8,Soldano Hot Rod 50X,24,68,https://tonehunt.org/brianbuckles/737abe23-3d3b-4660-b9ff-b20213dd76b8
987b793f-1a78-465d-b7ab-24389eb6f761,Peavey XXX,34,82,https://tonehunt.org/helgab/987b793f-1a78-465d-b7ab-24389eb6f761
987b793f-1a78-465d-b7ab-24389eb6f761,Peavey XXX,34,82,https://tonehunt.org/helgab/987b793f-1a78-465d-b7ab-24389eb6f761
54eb04d9-bced-4773-a3c2-e6c1855cbc12,Fryette Pitbull 50CL,22,48,https://tonehunt.org/IReignManI/54eb04d9-bced-4773-a3c2-e6c1855cbc12
54eb04d9-bced-4773-a3c2-e6c1855cbc12,Fryette Pitbull 50CL,22,48,https://tonehunt.org/IReignManI/54eb04d9-bced-4773-a3c2-e6c1855cbc12
c5670d47-9275-4e49-b0a0-164b994b98da,ENGL Fireball 60 (E625),19,40,https://tonehunt.org/tr00_kvlt/c5670d47-9275-4e49-b0a0-164b994b98da
c5670d47-9275-4e49-b0a0-164b994b98da,ENGL Fireball 60 (E625),19,40,https://tonehunt.org/tr00_kvlt/c5670d47-9275-4e49-b0a0-164b994b98da
4fab6795-e314-4c02-91a7-38cb12bebb76,Orange Micro Terror,14,42,https://tonehunt.org/BryanHolmes/4fab6795-e314-4c02-91a7-38cb12bebb76
4fab6795-e314-4c02-91a7-38cb12bebb76,Orange Micro Terror,14,42,https://tonehunt.org/BryanHolmes/4fab6795-e314-4c02-91a7-38cb12bebb76
e7e52a7f-2782-4c71-9d99-465b58f99c04,Marshall JCM 900 Ch A,11,38,https://tonehunt.org/obi-Juan/e7e52a7f-2782-4c71-9d99-465b58f99c04
e3616050-5344-42e9-99eb-46f51283f35c,Joyo Zombie,15,32,https://tonehunt.org/BryanHolmes/e3616050-5344-42e9-99eb-46f51283f35c
e3616050-5344-42e9-99eb-46f51283f35c,Joyo Zombie,15,32,https://tonehunt.org/BryanHolmes/e3616050-5344-42e9-99eb-46f51283f35c
9d999809-ef06-4ee3-be00-d41465c3c746,Marshall Valvestate VS100,9,22,https://tonehunt.org/markswarbrick/9d999809-ef06-4ee3-be00-d41465c3c746
9d999809-ef06-4ee3-be00-d41465c3c746,Marshall Valvestate VS100,9,22,https://tonehunt.org/markswarbrick/9d999809-ef06-4ee3-be00-d41465c3c746
4546ef53-2ed3-4348-87b2-346b24acbc15,Peavey Bandit 112 Teal Stripe,5,27,https://tonehunt.org/markswarbrick/4546ef53-2ed3-4348-87b2-346b24acbc15
4546ef53-2ed3-4348-87b2-346b24acbc15,Peavey Bandit 112 Teal Stripe,5,27,https://tonehunt.org/markswarbrick/4546ef53-2ed3-4348-87b2-346b24acbc15
e3936169-e42f-472f-92ad-0499e7c08726,Diezel VH2,16,51,https://tonehunt.org/PrimalNerd/e3936169-e42f-472f-92ad-0499e7c08726
e3936169-e42f-472f-92ad-0499e7c08726,Diezel VH2,16,51,https://tonehunt.org/PrimalNerd/e3936169-e42f-472f-92ad-0499e7c08726
c65c45a0-168f-491f-8d84-603e172c9fe0,"Wren And Cuff Tall Font, Peavey Ultra 60w",9,30,https://tonehunt.org/helgab/c65c45a0-168f-491f-8d84-603e172c9fe0
